feature_a,feature_b,abs_pearson_r,feature_a_outcome_corr_abs,feature_b_outcome_corr_abs,kept_feature,dropped_feature
dwi_wavelet-LLH_glrlm_ShortRunHighGrayLevelEmphasis,dwi_wavelet-LLH_gldm_HighGrayLevelEmphasis,0.9954701611196881,0.02406432981156568,0.018159703356672562,dwi_wavelet-LLH_glrlm_ShortRunHighGrayLevelEmphasis,dwi_wavelet-LLH_gldm_HighGrayLevelEmphasis
dwi_original_firstorder_90Percentile,dwi_log-sigma-3-0-mm-3D_glrlm_ShortRunHighGrayLevelEmphasis,0.838064264317379,0.13138979888883973,0.0715328836831759,dwi_original_firstorder_90Percentile,dwi_log-sigma-3-0-mm-3D_glrlm_ShortRunHighGrayLevelEmphasis
ce_wavelet-HHL_gldm_GrayLevelVariance,ce_wavelet-HHL_glcm_SumSquares,0.9998921893657514,0.0189160887473723,0.01930162882659902,ce_wavelet-HHL_glcm_SumSquares,ce_wavelet-HHL_gldm_GrayLevelVariance
ce_wavelet-HHL_glrlm_GrayLevelNonUniformityNormalized,ce_wavelet-HHL_glcm_SumEntropy,0.9758039971582482,0.030132132167174697,0.03776615957976779,ce_wavelet-HHL_glcm_SumEntropy,ce_wavelet-HHL_glrlm_GrayLevelNonUniformityNormalized
ce_wavelet-HHL_glcm_SumSquares,ce_wavelet-HHL_glcm_SumEntropy,0.8733677856838566,0.01930162882659902,0.03776615957976779,ce_wavelet-HHL_glcm_SumEntropy,ce_wavelet-HHL_glcm_SumSquares
dwi_wavelet-LLL_glszm_SizeZoneNonUniformity,dwi_log-sigma-3-0-mm-3D_glrlm_RunLengthNonUniformity,0.8468774314236932,0.021494761911767926,0.027178343702362842,dwi_log-sigma-3-0-mm-3D_glrlm_RunLengthNonUniformity,dwi_wavelet-LLL_glszm_SizeZoneNonUniformity
dwi_wavelet-LLH_glrlm_ShortRunHighGrayLevelEmphasis,dwi_wavelet-LLH_glcm_Autocorrelation,0.9869915860971183,0.02406432981156568,0.01575261878115489,dwi_wavelet-LLH_glrlm_ShortRunHighGrayLevelEmphasis,dwi_wavelet-LLH_glcm_Autocorrelation
dwi_log-sigma-1-0-mm-3D_glcm_ClusterProminence,dwi_wavelet-LLL_ngtdm_Complexity,0.8663571516798239,0.03315045602002115,0.05155797373384227,dwi_wavelet-LLL_ngtdm_Complexity,dwi_log-sigma-1-0-mm-3D_glcm_ClusterProminence
dwi_wavelet-LLH_glrlm_ShortRunHighGrayLevelEmphasis,dwi_wavelet-LLH_glszm_HighGrayLevelZoneEmphasis,0.9924780113697793,0.02406432981156568,0.01445910802967688,dwi_wavelet-LLH_glrlm_ShortRunHighGrayLevelEmphasis,dwi_wavelet-LLH_glszm_HighGrayLevelZoneEmphasis
dwi_wavelet-LLH_firstorder_TotalEnergy,dwi_log-sigma-1-0-mm-3D_firstorder_TotalEnergy,0.9365515501458264,0.05279800397059087,0.03419320521187064,dwi_wavelet-LLH_firstorder_TotalEnergy,dwi_log-sigma-1-0-mm-3D_firstorder_TotalEnergy
dwi_wavelet-LLH_firstorder_TotalEnergy,dwi_log-sigma-1-0-mm-3D_firstorder_Energy,0.9365515502448488,0.05279800397059087,0.034193205184382326,dwi_wavelet-LLH_firstorder_TotalEnergy,dwi_log-sigma-1-0-mm-3D_firstorder_Energy
dwi_wavelet-LLL_ngtdm_Complexity,dwi_log-sigma-2-0-mm-3D_glrlm_ShortRunHighGrayLevelEmphasis,0.9249010806106832,0.05155797373384227,0.062236559621176774,dwi_log-sigma-2-0-mm-3D_glrlm_ShortRunHighGrayLevelEmphasis,dwi_wavelet-LLL_ngtdm_Complexity
dwi_wavelet-HLH_glrlm_HighGrayLevelRunEmphasis,dwi_wavelet-HLH_glcm_Autocorrelation,0.9981473365992388,0.07530538065389253,0.062321952970974544,dwi_wavelet-HLH_glrlm_HighGrayLevelRunEmphasis,dwi_wavelet-HLH_glcm_Autocorrelation
ce_wavelet-HHL_glcm_SumEntropy,ce_wavelet-HHL_firstorder_Uniformity,0.9831410542748275,0.03776615957976779,0.02685689854202139,ce_wavelet-HHL_glcm_SumEntropy,ce_wavelet-HHL_firstorder_Uniformity
dwi_wavelet-LLH_firstorder_TotalEnergy,dwi_wavelet-LHH_firstorder_TotalEnergy,0.9090433667040608,0.05279800397059087,0.07491065687425245,dwi_wavelet-LHH_firstorder_TotalEnergy,dwi_wavelet-LLH_firstorder_TotalEnergy
dwi_wavelet-LHH_firstorder_TotalEnergy,dwi_wavelet-LHH_firstorder_Energy,0.9999999999999994,0.07491065687425245,0.07491065676407373,dwi_wavelet-LHH_firstorder_TotalEnergy,dwi_wavelet-LHH_firstorder_Energy
