gene_symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B
C11orf16,-1.07341553757576,6.56912259398496,-4.51654129324907,1.36844855460067e-05,0.0002724481205155,2.93113778644948
NAPSB,-1.07768225454546,5.94397195488722,-2.45918129214221,0.0152053346491172,0.0318693205872486,-3.40208323401668
PIFO,-1.07812092272727,7.39981696240601,-3.24656607564265,0.0014770970757017,0.0048542464210102,-1.34949031250697
CASC1,-1.08505059363636,5.33035615037594,-3.69724943315486,0.0003172461042732,0.0015763141405534,0.0414282646994204
DNAH5,-1.08895187636363,6.34545417293233,-3.68361716025728,0.0003330439545348,0.0016283582838821,-0.0028127335276195
ERMN,-1.08977961515152,4.92133765413534,-3.53743198333388,0.0005563436377017,0.0023603573075365,-0.468860380873681
TTC28,-1.09122386393939,7.64151167669173,-5.86731862570803,3.31465931584087e-08,1.49119719371731e-05,8.55326544495746
TPPP3,-1.09757619090909,6.85604716541353,-3.20588089180055,0.0016851287697486,0.0053887818158857,-1.46759200229921
PAMR1,-1.10186566454545,6.72281496992481,-3.98778735786307,0.0001093228483282,0.0007748127511682,1.01517028477275
EFNB2,-1.10702960484849,8.47129260150376,-4.2659919859024,3.74359480557925e-05,0.000435343847552,2.00093688917691
FITM1,-1.10757342060606,4.98151490977444,-4.44615344956633,1.82255960191913e-05,0.0003152856319069,2.66587323830015
PABPC4L,-1.11654428333333,6.41783664661654,-3.48300089476227,0.0006709251585166,0.0026911347608748,-0.638431967968113
TMEM190,-1.12112128333333,5.649386,-3.45940157468822,0.0007272041962476,0.0028540436458343,-0.711276332244631
FAM216B,-1.12217941,4.10946491729323,-3.67428786645396,0.0003442812010504,0.0016691519901073,-0.0330130656999232
SYBU,-1.12363210787879,6.36909638345865,-3.12906279545659,0.0021540468287745,0.0065559923683551,-1.68711315635051
LRRC71,-1.12430818121212,5.60357437593985,-4.59162817230949,1.00475086734663e-05,0.0002342252945726,3.21742961920265
PCAT19,-1.12663270181818,5.44614007518797,-4.101717189238,7.09091004221585e-05,0.0006070877520451,1.4127039618621
HOXD8,-1.12753663484849,5.91772442105263,-4.09297261919599,7.3326492941674e-05,0.0006150042540533,1.38188584035936
TDRP,-1.1366001469697,5.85418587969925,-4.12280031434707,6.53902842211114e-05,0.0005825679866971,1.48721366632725
ANAPC4,-1.13771520030303,10.4806689323308,-4.58735581360924,1.02265979350175e-05,0.0002370316407716,3.20104892574301
EGLN3,-1.13787600848485,6.70627202255639,-4.58509565426878,1.03225823559128e-05,0.0002383837928623,3.19238764617517
LAIR2,-1.14258320606061,4.6083425112782,-4.17302123987189,5.38514874748413e-05,0.0005216669045787,1.66587370151565
C1orf158,-1.14276720757576,4.53623670676692,-4.88090237807169,2.96445966538222e-06,0.0001350937059249,4.35142951813338
AMPD3,-1.14787697272727,7.12708612030075,-5.02413291578317,1.59204152308003e-06,9.99001472422569e-05,4.93050218051032
KIAA1755,-1.15042234757576,4.88930545112782,-4.57431029200344,1.07927236952862e-05,0.0002433506442311,3.15109864597409
ST6GALNAC1,-1.15117506878788,7.77919328571429,-3.13788595484263,0.0020946127851557,0.006410861568636,-1.66213114270729
VIM,-1.1571083469697,6.55823757894737,-4.40448727949765,2.15646789998434e-05,0.000339036160839,2.51028635226144
FMO2,-1.16487419818182,4.41444144360902,-3.97464204255332,0.000114859969983,0.0007990443183831,0.969862015946144
MS4A8,-1.16601317969697,6.01391566917293,-3.38500858623429,0.0009350121127296,0.0034388822247741,-0.938209782835598
BTBD11,-1.16650148212121,5.61182557142857,-4.23975742517823,4.1503582455492e-05,0.0004578548210991,1.90582442676973
TOGARAM2,-1.16751859969697,5.68465956390977,-3.84088202681413,0.0001886733889185,0.0011078936519744,0.515515079373057
COL4A5,-1.16774592363636,9.01484409022556,-3.54862389876117,0.0005351912475292,0.0022963742625124,-0.433725525090689
LAMC2,-1.16824651727273,7.59277311278195,-3.53427611343912,0.0005624489816755,0.0023789482593895,-0.478751136358922
BTNL8,-1.16896883969697,4.40750396992481,-4.39482498846416,2.24192234484633e-05,0.0003428782446799,2.47435999667089
IPCEF1,-1.17629032848485,5.78540096992481,-5.11298453591768,1.07660379820362e-06,8.54914077176661e-05,5.29535118183143
CCDC113,-1.18162738515151,6.97151812781955,-3.97493492146237,0.0001147337399219,0.0007989387151224,0.970870218005924
FAM13C,-1.18239830484848,6.02001679699248,-4.58984227712604,1.01219985352966e-05,0.0002349819651609,3.21058097158295
GREB1,-1.19076325030303,7.11781368421053,-3.90552932734416,0.0001486541876665,0.0009431271969237,0.733576672859517
WDR78,-1.19236616363636,6.08896354887218,-4.0813383786874,7.66651421776207e-05,0.0006285012277986,1.34096214568429
TMEM178A,-1.19301745272727,6.65890133082707,-3.41540666450468,0.0008441461699454,0.0031818733624959,-0.845977846380246
IL1R1,-1.19628777909091,9.38342958646617,-4.82140033522982,3.82531704765238e-06,0.0001496102170495,4.11423230072502
SPAAR,-1.19636323333333,5.15465789473684,-4.38916325809008,2.29349992049338e-05,0.0003455636109182,2.45333556173643
KIT,-1.20062813848485,6.10748907518797,-3.85852261542659,0.0001768391613004,0.0010596061077229,0.574732939436173
ARMC3,-1.2024634769697,6.54231018045113,-3.29572490784707,0.0012576934664106,0.0043166126657426,-1.20510825742841
WDR49,-1.20443151515151,3.41441909022556,-3.65855345523579,0.0003640500748035,0.0017358155196349,-0.0838072338474705
MFAP3L,-1.2052296169697,4.28953098496241,-4.38395248803479,2.34197692360396e-05,0.0003490622726546,2.43400340804863
MKL1,-1.2084516069697,4.62394053383459,-4.40545418342041,2.14809116287859e-05,0.000339036160839,2.51388469480044
SMCHD1,-1.21107082939394,7.22107263157895,-4.02734112517387,9.41566689858007e-05,0.0007095456869638,1.15220253742274
CCDC114,-1.21317695454545,6.47281266917293,-3.46922142010604,0.0007032676084551,0.0027843825219636,-0.681015100715292
MYOG,-1.21377101484849,4.71425230075188,-4.47181207149618,1.64234210549386e-05,0.0002953531772281,2.76221909477192
KRTAP4-2,-1.21876242424242,4.55856230075188,-4.37616764030641,2.41624230888699e-05,0.0003540617592144,2.40515292609715
ASRGL1,-1.21970281090909,10.3239246917293,-3.91527095720654,0.0001433744387071,0.0009188708471809,0.766684837763916
IGF1,-1.23805543606061,6.84069714285714,-3.9840451732022,0.0001108726616738,0.0007823749243657,1.00226013742086
ADCY1,-1.24543854424242,5.15650153383459,-3.81304761349268,0.0002088893124103,0.0011835693064663,0.422515735314337
LEF1-AS1,-1.25489310424242,4.39504122556391,-4.60922020337813,9.34148095670326e-06,0.0002242399733102,3.28499435679755
CFAP300,-1.26353922030303,5.84114545864662,-3.61269788346153,0.0004279643490655,0.0019494931390113,-0.230829013267987
CDHR3,-1.26775787121212,4.46284828571429,-4.92567200499756,2.44386248422924e-06,0.0001235843349179,4.53121018056913
ZNF295-AS1,-1.26901852848485,4.76051042105263,-4.03983665510549,8.97985981538503e-05,0.0006905103520054,1.1957106990968
ZBBX,-1.27240237242424,5.12440627067669,-2.9907143884826,0.0033154422657747,0.0092195010547603,-2.0708894749769
TEKT1,-1.27607788545455,5.0236405112782,-4.19897595319917,4.86800554483002e-05,0.0004933498792119,1.7588516814963
