gene_symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B
FANCD2,-0.143145995454546,3.38318602255639,-2.27993302674361,0.0241976616333951,0.0467779750124467,-3.7978884629664
TSPAN5,-0.143205613030304,7.30264209022556,-0.568287885934293,0.570794454042235,0.646499014710763,-6.11911349157162
SLC35D1,-0.143241653333334,7.25346115789474,-1.18263763159287,0.239055442271617,0.317378092107024,-5.59949902625071
SLC19A1,-0.143307583333334,5.05748472932331,-1.40142461541038,0.163408395910605,0.230756064398664,-5.32811574859358
CLEC2D,-0.143342756666666,2.75014084210526,-1.89782219808475,0.0598793091122024,0.0998054402540573,-4.54854068640606
SERINC3,-0.14340108121212,7.0738092406015,-0.944724961295914,0.346506537833063,0.430982316910472,-5.84345034130482
PRAC1,-0.14344066,2.73267712030075,-1.31391736768722,0.19112805959758,0.263360403191314,-5.44203099276794
DUOX1,-0.143449873939393,2.93057465413534,-2.7053218370451,0.0077143798916851,0.0181639726211033,-2.81442497455993
KCTD11,-0.143467850909091,6.38163947368421,-1.2494785361564,0.213676989043487,0.288542545472235,-5.5213443278741
LOC401585,-0.143481594848485,2.48589741353383,-2.99834606473195,0.0032386963434658,0.0090395135879841,-2.05011116303609
GALP,-0.143493751515151,2.94978188721805,-1.05116368809501,0.295083060879862,0.377392260566529,-5.74093939829745
NRAV,-0.143495538787879,6.0435245037594,-1.47628439736369,0.142223207434349,0.205570423976847,-5.2250162197334
RWDD2A,-0.143574435757574,5.75830212781955,-1.11857608423151,0.265330387095953,0.3459594300002,-5.67045671116828
HSD17B4,-0.143603256363636,2.32735273684211,-3.84307406733747,0.0001871629156106,0.0011019087023468,0.522861856693895
TTLL10,-0.143632267878788,3.82677139849624,-2.18759691511898,0.0304404282841813,0.0567120123847409,-3.99100226610563
WDR64,-0.143671233333334,2.95496715037594,-2.48503094275555,0.0141906054673272,0.0301526095331441,-3.34274951523621
LOC105375273,-0.143774142424242,2.28861961654135,-2.87368366072604,0.0047223243687333,0.0122254788863796,-2.38372391939743
MLLT1,-0.143807089090909,3.11518672180451,-2.62504033426122,0.009674793512209,0.021922210189259,-3.01163566119043
SLC5A4,-0.143815744242425,2.96870571428571,-2.45401049085932,0.0154159034369626,0.0322303498949254,-3.4138842225926
TRBV27,-0.14391789060606,3.11297687969925,-2.42046658199138,0.0168460385200072,0.0347738063028532,-3.48988943924489
FGL2,-0.143918926969698,5.25978102255639,-0.488537353501072,0.625971067606877,0.695645927163251,-6.16000913288736
RORA-AS1,-0.144014926969698,2.87141920300752,-3.00455720888394,0.0031774474768879,0.0089042628627724,-2.03316648217386
SLC44A5,-0.144042345454546,2.57298596992481,-2.6463535162046,0.0091147120046517,0.0208483804611273,-2.9597989742321
MGC70870,-0.144092184242425,6.45036056390977,-1.08305134321963,0.280738528850957,0.362676740285603,-5.70813543345634
CNTN1,-0.144094063030303,2.68376209774436,-1.91313151935576,0.0578731214077532,0.0969820349447764,-4.52094716514937
CPNE6,-0.144116692424242,3.51216917293233,-3.25321581557248,0.0014454621651831,0.0047741448470491,-1.33006713527231
SDS,-0.14412974787879,3.92686944360902,-2.4332076144754,0.0162895121210626,0.0337787404534867,-3.46113260794667
CNTNAP4,-0.144139178181818,1.9631355037594,-3.72629089600284,0.000285924809189,0.0014624398398552,0.136116174577204
NXPE4,-0.144228174545455,4.22351878195489,-2.24141818964416,0.0266504291351081,0.0507660750499681,-3.87933697480187
VPS13D,-0.144234128181818,2.74946589473684,-2.27540275573623,0.0244755078791251,0.0472201407744435,-3.80753523979252
LATS1,-0.14423579060606,2.49734890225564,-3.72234262667581,0.0002900039783183,0.0014795552980265,0.123208045477755
JAKMIP1,-0.144262623939394,3.6966117443609,-0.921794020955795,0.358299415076377,0.442948474682297,-5.86412390010351
