gene_symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B
ZMYM5,1.22607110606061,5.72017663157895,3.40253166429966,0.0008815716947717,0.0032927232884462,-0.885126359020365
PARP1,1.22445450878788,7.50693039097744,5.62316143243091,1.05352394927855e-07,2.62596023912995e-05,7.46890654228413
SEC61G,1.21358139545455,8.52622133082707,4.69998596944435,6.39610260767165e-06,0.0001865961263636,3.63650937791552
NUF2,1.2108070660606,7.00455635338346,5.15410296141131,8.97052444585305e-07,7.7872611427009e-05,5.46562221933441
BMP2,1.20828481363636,4.30444254135338,3.97917106573935,0.0001129227039032,0.0007921068611528,0.985459138349706
GSTP1,1.20629475121212,9.09648058646617,4.7192939450007,5.8973449077442e-06,0.0001790846928535,3.71190913240953
TFAM,1.19840721606061,6.50602054887218,3.82962005090679,0.0001966181223711,0.0011390483862841,0.477822237265299
HSP90AB1,1.19551898181818,7.75005572932331,3.14689103761966,0.0020355245139442,0.0062680245404983,-1.63657184518902
MAPKAPK5-AS1,1.19244970151516,5.57161042857143,5.01930856943975,1.62602404108353e-06,0.0001000797967725,4.91081410169364
SCAF11,1.18880955666667,4.07493489473684,4.08037484210557,7.69480698613935e-05,0.0006285882889652,1.33757690249724
LMNB1,1.18682777878788,7.32712416541353,3.70968423354421,0.0003034569294713,0.001530017105936,0.0818980854130311
DLX2,1.18534255393939,3.04295739097744,4.3842796323483,2.33890463877056e-05,0.0003490622726546,2.43521662709964
RPL15,1.18330656272727,6.32790909022556,4.38344380056433,2.34676183507662e-05,0.0003490622726546,2.43211706654831
SCOC,1.17858445454545,4.06021972932331,4.02161741383896,9.62197076394381e-05,0.0007178431108,1.13230803235807
LGALS1,1.1781558769697,9.33103921052632,4.0668129991484,8.1037748189241e-05,0.0006493189135346,1.28999468391098
SELENOT,1.17492503515152,6.16358423308271,4.01067865770325,0.0001002831032628,0.0007360233340783,1.09434811225383
C4orf3,1.17320283272727,7.92042287969925,4.67857582212186,6.99688262774095e-06,0.0001956936760959,3.55315525426952
GDE1,1.17206351121212,5.10497736090226,4.00430246549207,0.0001027266826621,0.0007447250709431,1.07225834577596
TSPO,1.17029623787879,8.27612680451128,5.69055311946401,7.67727776592531e-08,2.03932741498027e-05,7.7654950342747
CHMP4B,1.16848878,5.9175950075188,4.92055981592842,2.49849129514319e-06,0.0001249877150255,4.51062467780735
MFSD6,1.16014184060606,4.18138796240602,4.54430603173833,1.22119500529981e-05,0.0002568071329895,3.03660296098642
CDC6,1.15905162242424,4.82112885714286,4.73947499145469,5.41632158205141e-06,0.0001719447035293,3.79095025916605
RAB12,1.15823425454545,6.08807463157895,3.83143959536368,0.0001953133503717,0.0011353256312421,0.483906139966751
IMP3,1.15507781575757,6.19522001503759,4.89043112396641,2.84534626378742e-06,0.0001329672462345,4.3896000376293
POLR3K,1.15505402515151,5.73559784210526,4.94768212651496,2.22161685826722e-06,0.0001163417778896,4.62000514334744
DDIT4,1.15245044272727,9.40253118045113,4.89359087298188,2.80688326800405e-06,0.0001320870848822,4.40226868894531
NCAPG,1.15218935272727,7.0403264887218,4.51284889178328,1.3892773220551e-05,0.0002744802938115,2.91714733031265
LSM3,1.14931440212121,7.79850004511278,4.35905102323292,2.58758048448383e-05,0.0003649082293312,2.34185249269621
SNRPF,1.14662411757576,8.57342536090226,4.75814354505131,5.00532355468257e-06,0.0001688959761936,3.86427774016997
ATAD2,1.1464342669697,5.72229604511278,4.49580346245055,1.48945963659652e-05,0.0002849450483109,2.85267004797476
MSL2,1.14483179121212,6.63690633834586,4.33040373282633,2.90079188952881e-05,0.0003847646955703,2.23632124301298
PLEKHO1,1.14464346212121,6.26777503007519,5.17743906007483,8.08494187920628e-07,7.50853139491431e-05,5.562653732509
NUDT15,1.14366807424243,7.77878261654135,4.51367795176036,1.38457415676266e-05,0.0002740370889874,2.92028790492125
GATC,1.14295351454546,4.84249990977444,4.80906923678957,4.03186452049873e-06,0.0001541577290527,4.06532716012327
ATP6V0B,1.14125903060606,8.25766756390977,4.88303970475948,2.937328435583e-06,0.0001347699692217,4.3599868494903
NOP10,1.13650599969697,8.85102118045113,4.62198720500862,8.85936684245823e-06,0.0002167160868771,3.33414342562131
CDK2,1.13419254969697,6.66447461654135,4.99206735410074,1.83155037177992e-06,0.0001053428458845,4.79988118824739
SDC1,1.13224471363636,7.73345254887218,4.73929456077091,5.42044899327259e-06,0.0001719447035293,3.79024253672074
PSMB4,1.12863165424242,9.24142219548872,4.73949607995418,5.41583937432025e-06,0.0001719447035293,3.79103297806019
SNRPD2,1.12850763939394,9.86673795488722,4.82508012132204,3.76569307038648e-06,0.0001484801009862,4.12884311087227
DDX49,1.12759190212121,5.2679607518797,4.38948525184971,2.29053623099619e-05,0.0003455636109182,2.4545307266499
ZNF426,1.12678986181818,4.7376107593985,3.91168356713108,0.0001452976083976,0.0009282494045354,0.754485092425682
TLE3,1.12613830939394,4.45958140601504,6.03880438954436,1.44827585225014e-08,1.18187117902e-05,9.33060478576147
NEDD8,1.1256307930303,7.65093936090226,4.52986756364674,1.29575174152521e-05,0.000266110235584,2.98169970974192
DNAJB1,1.12534495212121,6.61620818796993,5.55756515674139,1.43065000222597e-07,3.14171366194769e-05,7.18226229085729
RPL22L1,1.12266941181818,10.0587808421053,5.92945623886994,2.45912023271369e-08,1.34816640049059e-05,8.83347581775928
TGIF1,1.11891762181818,5.54066373684211,3.70054950819046,0.0003135298665892,0.0015624638229335,0.0521578768422755
POLR2E,1.11868151666667,5.9669197443609,4.34544918408234,2.73200912452335e-05,0.0003726968291877,2.29168145972181
DAZAP1,1.11832782121212,7.22545713533835,5.07700551826587,1.26203958934675e-06,8.9844607370764e-05,5.14710027410283
EIF4EBP1,1.11768347666667,6.82893615037594,4.52873397423611,1.30178772421603e-05,0.0002668070109286,2.97739450398924
AP2A2,1.11482164090909,7.34627933082707,4.8546035056129,3.31885415724838e-06,0.0001388449849916,4.24634566992099
SET,1.10945112363636,10.0194135864662,4.87665390670521,3.01911353775399e-06,0.0001359576028692,4.3344273012416
RPL36,1.10546065181819,10.4824657593985,4.86845764300493,3.12732829473744e-06,0.0001366547697276,4.30165485167169
CENPQ,1.1045910969697,4.24891107518797,4.6239303514678,8.78812988753466e-06,0.0002166881922282,3.34163245011435
